127.0.0.1 - - [16/Jan/2021:12:19:24 -0800] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [16/Jan/2021:12:19:25 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6468
0:0:0:0:0:0:0:1 - - [16/Jan/2021:12:19:25 -0800] "GET /PortfollioSite/Portrait.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2021:12:19:25 -0800] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [16/Jan/2021:12:26:18 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6468
0:0:0:0:0:0:0:1 - - [16/Jan/2021:12:26:21 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6468
0:0:0:0:0:0:0:1 - - [16/Jan/2021:12:26:30 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6468
0:0:0:0:0:0:0:1 - - [16/Jan/2021:12:26:43 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6468
0:0:0:0:0:0:0:1 - - [16/Jan/2021:12:27:35 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6468
0:0:0:0:0:0:0:1 - - [16/Jan/2021:12:27:53 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6468
0:0:0:0:0:0:0:1 - - [16/Jan/2021:12:47:00 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6492
0:0:0:0:0:0:0:1 - - [16/Jan/2021:12:47:10 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6494
0:0:0:0:0:0:0:1 - - [16/Jan/2021:12:47:11 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6494
0:0:0:0:0:0:0:1 - - [16/Jan/2021:12:47:15 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6494
0:0:0:0:0:0:0:1 - - [16/Jan/2021:12:47:15 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6494
0:0:0:0:0:0:0:1 - - [16/Jan/2021:12:47:16 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6494
0:0:0:0:0:0:0:1 - - [16/Jan/2021:12:47:16 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6494
0:0:0:0:0:0:0:1 - - [16/Jan/2021:12:47:16 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6494
0:0:0:0:0:0:0:1 - - [16/Jan/2021:12:47:20 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6494
0:0:0:0:0:0:0:1 - - [16/Jan/2021:12:47:52 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6494
0:0:0:0:0:0:0:1 - - [16/Jan/2021:12:47:52 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6494
0:0:0:0:0:0:0:1 - - [16/Jan/2021:12:55:58 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6520
0:0:0:0:0:0:0:1 - - [16/Jan/2021:12:56:06 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6521
0:0:0:0:0:0:0:1 - - [16/Jan/2021:12:56:15 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6522
0:0:0:0:0:0:0:1 - - [16/Jan/2021:12:56:17 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6522
0:0:0:0:0:0:0:1 - - [16/Jan/2021:12:56:32 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6522
0:0:0:0:0:0:0:1 - - [16/Jan/2021:12:56:33 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6522
0:0:0:0:0:0:0:1 - - [16/Jan/2021:12:56:42 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6522
0:0:0:0:0:0:0:1 - - [16/Jan/2021:12:56:42 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6522
0:0:0:0:0:0:0:1 - - [16/Jan/2021:12:56:43 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6522
0:0:0:0:0:0:0:1 - - [16/Jan/2021:12:56:47 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6522
0:0:0:0:0:0:0:1 - - [16/Jan/2021:12:57:11 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6522
0:0:0:0:0:0:0:1 - - [16/Jan/2021:12:57:14 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6522
0:0:0:0:0:0:0:1 - - [16/Jan/2021:12:57:14 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6522
0:0:0:0:0:0:0:1 - - [16/Jan/2021:12:57:29 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6523
0:0:0:0:0:0:0:1 - - [16/Jan/2021:12:57:30 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6523
0:0:0:0:0:0:0:1 - - [16/Jan/2021:12:57:41 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6523
0:0:0:0:0:0:0:1 - - [16/Jan/2021:12:57:48 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6522
0:0:0:0:0:0:0:1 - - [16/Jan/2021:12:57:54 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6523
0:0:0:0:0:0:0:1 - - [16/Jan/2021:12:58:21 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6523
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:01:04 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6545
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:01:05 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6545
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:01:18 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6544
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:01:18 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6544
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:01:19 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6544
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:01:38 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6547
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:01:39 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6547
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:01:40 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6547
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:01:40 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6547
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:02:41 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6549
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:04:07 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6545
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:05:13 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6563
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:05:24 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6562
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:05:40 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6601
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:07:14 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6642
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:07:31 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6645
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:07:32 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6645
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:07:48 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6647
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:07:59 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6609
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:08:39 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6564
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:09:02 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6578
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:11:00 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6615
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:11:08 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6615
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:11:14 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6615
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:11:22 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6615
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:11:29 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6615
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:11:35 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6615
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:12:01 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6651
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:12:27 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6696
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:12:59 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6695
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:14:08 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6712
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:14:17 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6712
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:16:13 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6719
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:16:50 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6719
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:17:38 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6758
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:18:24 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6773
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:18:52 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6769
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:21:21 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6725
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:21:43 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6741
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:21:57 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6740
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:22:10 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6740
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:22:26 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6760
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:23:08 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6766
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:23:09 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6766
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:23:15 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6766
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:23:32 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6762
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:23:38 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6758
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:23:48 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6732
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:28:10 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6857
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:29:22 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6818
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:29:37 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6815
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:29:51 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6815
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:29:56 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6815
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:29:56 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6815
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:30:05 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6812
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:31:14 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6774
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:31:42 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6769
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:31:52 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:33:08 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6803
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:33:09 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6803
